18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Bolter	<font size=5>\nBolter\n</font><br>\n筛\n
Bolting Cloth	<font size=5>\nBolting Cloth\n</font><br>\n筛布\n
Boltzmann Constant	<font size=5>\nBoltzmann Constant\n</font><br>\n波耳兹曼常数\n
Boltzmann's Principle	<font size=5>\nBoltzmann's Principle\n</font><br>\n波耳兹曼原理\n
Boltzmann Statistics	<font size=5>\nBoltzmann Statistics\n</font><br>\n玻耳兹曼统计\n
Boltzmann Velocity Distribution Law	<font size=5>\nBoltzmann Velocity Distribution Law\n</font><br>\n玻耳兹曼速度分布定律\n
Bolus Alba	<font size=5>\nBolus Alba\n</font><br>\n瓷土\n
Bomb	<font size=5>\nBomb\n</font><br>\n炸弹\n
Bomb Calorimeter	<font size=5>\nBomb Calorimeter\n</font><br>\n弹式量热器\n
Bond	<font size=5>\nBond\n</font><br>\n键\n
Bond Energy	<font size=5>\nBond Energy\n</font><br>\n键能\n
Bond Formation	<font size=5>\nBond Formation\n</font><br>\n键生成\n
Bonding	<font size=5>\nBonding\n</font><br>\n粘合\n
Bonding Agent	<font size=5>\nBonding Agent\n</font><br>\n键合剂\n
Bonding Orbital	<font size=5>\nBonding Orbital\n</font><br>\n成键轨道\n
Bonding Strength	<font size=5>\nBonding Strength\n</font><br>\n键强度\n
Bond Length	<font size=5>\nBond Length\n</font><br>\n键长\n
Bond Moment	<font size=5>\nBond Moment\n</font><br>\n键矩\n
Bond Order	<font size=5>\nBond Order\n</font><br>\n键级\n
Bond Refraction	<font size=5>\nBond Refraction\n</font><br>\n键折射\n
Bond Strength	<font size=5>\nBond Strength\n</font><br>\n键强度\n
Bone Ash	<font size=5>\nBone Ash\n</font><br>\n骨灰\n
Bone Black	<font size=5>\nBone Black\n</font><br>\n骨炭\n
Bone Breaker	<font size=5>\nBone Breaker\n</font><br>\n骨头粉碎机\n
Bone China	<font size=5>\nBone China\n</font><br>\n骨灰瓷\n
Bone Fertilizer	<font size=5>\nBone Fertilizer\n</font><br>\n骨粉肥料\n
Bone Glass	<font size=5>\nBone Glass\n</font><br>\n乳色玻璃\n
Bone Manure	<font size=5>\nBone Manure\n</font><br>\n骨粉肥料\n
Bone Meal	<font size=5>\nBone Meal\n</font><br>\n骨粉\n
Bone Superphosphate	<font size=5>\nBone Superphosphate\n</font><br>\n骨粉过磷酸钙\n
Bone Tallow	<font size=5>\nBone Tallow\n</font><br>\n骨脂\n
Boord Reaction	<font size=5>\nBoord Reaction\n</font><br>\n伯尔德反应\n
Booster	<font size=5>\nBooster\n</font><br>\n升压机\n
Boosting Transformer	<font size=5>\nBoosting Transformer\n</font><br>\n升压变压器\n
Borane	<font size=5>\nBorane\n</font><br>\n甲硼烷\n
Borate	<font size=5>\nBorate\n</font><br>\n硼酸盐\n
Borax	<font size=5>\nBorax\n</font><br>\n硼砂\n
Borax Bead	<font size=5>\nBorax Bead\n</font><br>\n硼砂珠\n
Borax Bead Reaction	<font size=5>\nBorax Bead Reaction\n</font><br>\n硼砂珠反应\n
Borax Glass	<font size=5>\nBorax Glass\n</font><br>\n硼砂玻璃\n
Borazine	<font size=5>\nBorazine\n</font><br>\n硼唑\n
Borazol	<font size=5>\nBorazol\n</font><br>\n硼唑\n
Bordeaux Mixture	<font size=5>\nBordeaux Mixture\n</font><br>\n波耳多液\n
Boric Acid	<font size=5>\nBoric Acid\n</font><br>\n硼酸\n
Boric Anhydride	<font size=5>\nBoric Anhydride\n</font><br>\n硼酸酐\n
Boride	<font size=5>\nBoride\n</font><br>\n硼化物\n
Bornane	<font size=5>\nBornane\n</font><br>\n莰烷\n
Borneol	<font size=5>\nBorneol\n</font><br>\n龙脑莰醇\n
Bornite	<font size=5>\nBornite\n</font><br>\n斑铜矿\n
Bornyl Acetate	<font size=5>\nBornyl Acetate\n</font><br>\n醋酸冰片酯\n
Bornyl Chloride	<font size=5>\nBornyl Chloride\n</font><br>\n氯化冰片\n
Bornyl Formate	<font size=5>\nBornyl Formate\n</font><br>\n甲酸冰片酯\n
Bornyl Isovaleriate	<font size=5>\nBornyl Isovaleriate\n</font><br>\n异戊酸冰片酯\n
Bornyl Salicylate	<font size=5>\nBornyl Salicylate\n</font><br>\n水杨酸冰片酯\n
Boroethane	<font size=5>\nBoroethane\n</font><br>\n乙硼烷\n
Borofluorhydric Acid	<font size=5>\nBorofluorhydric Acid\n</font><br>\n氟硼酸\n
Borofluoric Acid	<font size=5>\nBorofluoric Acid\n</font><br>\n氟硼酸\n
Boron	<font size=5>\nBoron\n</font><br>\n硼\n
Boron Carbide	<font size=5>\nBoron Carbide\n</font><br>\n碳化硼\n
Boron Chloride	<font size=5>\nBoron Chloride\n</font><br>\n氯化硼\n
Boron Fertilizer	<font size=5>\nBoron Fertilizer\n</font><br>\n硼肥料\n
Boron Fluoride	<font size=5>\nBoron Fluoride\n</font><br>\n氟化硼\n
Boron Hydride	<font size=5>\nBoron Hydride\n</font><br>\n氢化硼\n
Boron Nitride	<font size=5>\nBoron Nitride\n</font><br>\n一氮化硼\n
Boron Oxide	<font size=5>\nBoron Oxide\n</font><br>\n氧化硼\n
Boron Tribromide	<font size=5>\nBoron Tribromide\n</font><br>\n三溴化硼\n
Borosilicate	<font size=5>\nBorosilicate\n</font><br>\n硼硅酸盐\n
Borosilicate Glass	<font size=5>\nBorosilicate Glass\n</font><br>\n硼硅玻璃\n
Bose Einstein's Statistics	<font size=5>\nBose Einstein's Statistics\n</font><br>\n玻色爱因斯坦统计\n
Bottle Brush	<font size=5>\nBottle Brush\n</font><br>\n洗瓶刷\n
Bottle Filler	<font size=5>\nBottle Filler\n</font><br>\n装瓶机\n
Bottle Glass	<font size=5>\nBottle Glass\n</font><br>\n瓶玻璃\n
Bottler	<font size=5>\nBottler\n</font><br>\n装瓶机\n
Bottle Washer	<font size=5>\nBottle Washer\n</font><br>\n洗瓶机\n
Bottom Ash	<font size=5>\nBottom Ash\n</font><br>\n底灰\n
Bottom Fermentation	<font size=5>\nBottom Fermentation\n</font><br>\n底层发酵\n
Bottom Oil	<font size=5>\nBottom Oil\n</font><br>\n残余油\n
Bottoms	<font size=5>\nBottoms\n</font><br>\n蒸馏残渣\n
Bottom Steam	<font size=5>\nBottom Steam\n</font><br>\n塔底蒸汽\n
Bottom Yeast	<font size=5>\nBottom Yeast\n</font><br>\n底酵母\n
Boundary Condition	<font size=5>\nBoundary Condition\n</font><br>\n边界条件\n
Boundary Layer	<font size=5>\nBoundary Layer\n</font><br>\n边界层\n
Boundary Line	<font size=5>\nBoundary Line\n</font><br>\n境界线\n
Boundary Value Problem	<font size=5>\nBoundary Value Problem\n</font><br>\n边值问题\n
Bound Charge	<font size=5>\nBound Charge\n</font><br>\n束缚电荷\n
Bound Electron	<font size=5>\nBound Electron\n</font><br>\n束缚电子\n
Bound Water	<font size=5>\nBound Water\n</font><br>\n结合水\n
Bournonite	<font size=5>\nBournonite\n</font><br>\n车轮矿\n
Bouveault Blanc Reaction	<font size=5>\nBouveault Blanc Reaction\n</font><br>\n玻沃布兰反应\n
Bouveault Blanc Reduction	<font size=5>\nBouveault Blanc Reduction\n</font><br>\n玻沃\n
Boyle Gay Lussac's Law	<font size=5>\nBoyle Gay Lussac's Law\n</font><br>\n玻意耳盖吕萨克定律\n
Boyle Mariotte's Law	<font size=5>\nBoyle Mariotte's Law\n</font><br>\n玻意耳马里奥特定律\n
Boyle Temperature	<font size=5>\nBoyle Temperature\n</font><br>\n玻意耳温度\n
Bradykinin	<font size=5>\nBradykinin\n</font><br>\n血管舒缓激肽\n
Bragg's Formula	<font size=5>\nBragg's Formula\n</font><br>\n布雷格公式\n
Branch	<font size=5>\nBranch\n</font><br>\n分支\n
Branched Chain	<font size=5>\nBranched Chain\n</font><br>\n支链\n
Branching Coefficent	<font size=5>\nBranching Coefficent\n</font><br>\n支化度\n
Branching Ratio	<font size=5>\nBranching Ratio\n</font><br>\n分支比\n
Brass	<font size=5>\nBrass\n</font><br>\n黄铜\n
Brassicasterol	<font size=5>\nBrassicasterol\n</font><br>\n芜莆甾醇\n
Brassidic Acid	<font size=5>\nBrassidic Acid\n</font><br>\n巴惟酸\n
Brassinolide	<font size=5>\nBrassinolide\n</font><br>\n黄铜质\n
Brass Plating	<font size=5>\nBrass Plating\n</font><br>\n镀黄铜\n
Braun Tube	<font size=5>\nBraun Tube\n</font><br>\n布朗管\n
Bravais Space Lattice	<font size=5>\nBravais Space Lattice\n</font><br>\n布拉维空间晶格\n
Brazilein	<font size=5>\nBrazilein\n</font><br>\n巴戊\n
Brazilin	<font size=5>\nBrazilin\n</font><br>\n巴戊木红\n
Breadth Of Spectral Line	<font size=5>\nBreadth Of Spectral Line\n</font><br>\n谱线幅\n
Breaker	<font size=5>\nBreaker\n</font><br>\n破碎机\n
Breaking Load	<font size=5>\nBreaking Load\n</font><br>\n断裂载重\n
Breaking Stress	<font size=5>\nBreaking Stress\n</font><br>\n破坏应力\n
Breaking Test	<font size=5>\nBreaking Test\n</font><br>\n破坏试验\n
Breakthrough Concentration	<font size=5>\nBreakthrough Concentration\n</font><br>\n突破浓度\n
Breathing	<font size=5>\nBreathing\n</font><br>\n通风\n
Breeze	<font size=5>\nBreeze\n</font><br>\n焦粉\n
Bremen Blue	<font size=5>\nBremen Blue\n</font><br>\n布勒门蓝\n
Bremsstrahlung	<font size=5>\nBremsstrahlung\n</font><br>\n韧致辐射\n
Brewing	<font size=5>\nBrewing\n</font><br>\n酿造\n
Brick	<font size=5>\nBrick\n</font><br>\n砖\n
Brick For Sintering Zone	<font size=5>\nBrick For Sintering Zone\n</font><br>\n烧结带用砖\n
Brick Kiln	<font size=5>\nBrick Kiln\n</font><br>\n烧砖炉\n
Bridged Bond	<font size=5>\nBridged Bond\n</font><br>\n桥键\n
Bridged Complex	<font size=5>\nBridged Complex\n</font><br>\n桥络体\n
Bridged Linkage	<font size=5>\nBridged Linkage\n</font><br>\n桥键\n
Bridge Wall	<font size=5>\nBridge Wall\n</font><br>\n隔墙\n
Bridging	<font size=5>\nBridging\n</font><br>\n交联\n
Bridging Ligand	<font size=5>\nBridging Ligand\n</font><br>\n架桥配位体\n
Bright Coal	<font size=5>\nBright Coal\n</font><br>\n亮煤\n
Brightener	<font size=5>\nBrightener\n</font><br>\n抛光剂\n
Brightness	<font size=5>\nBrightness\n</font><br>\n亮度\n
Bright Plating	<font size=5>\nBright Plating\n</font><br>\n光亮电镀\n
Bright Stock	<font size=5>\nBright Stock\n</font><br>\n精制润滑油\n
Brilliant Yellow	<font size=5>\nBrilliant Yellow\n</font><br>\n亮黄\n
Brimstone	<font size=5>\nBrimstone\n</font><br>\n硫黄石\n
Brine	<font size=5>\nBrine\n</font><br>\n盐水\n
Brinell Hardness	<font size=5>\nBrinell Hardness\n</font><br>\n布里涅耳硬度\n
Brinell Hardness Tester	<font size=5>\nBrinell Hardness Tester\n</font><br>\n布氏硬度试验机\n
Briquet	<font size=5>\nBriquet\n</font><br>\n压制成块\n
Briquet Coke	<font size=5>\nBriquet Coke\n</font><br>\n煤砖焦炭\n
Briquetting Machine	<font size=5>\nBriquetting Machine\n</font><br>\n压块机\n
Brisance	<font size=5>\nBrisance\n</font><br>\n爆炸威力\n
Brittle Fracture	<font size=5>\nBrittle Fracture\n</font><br>\n脆裂\n
Brittleness	<font size=5>\nBrittleness\n</font><br>\n脆性\n
Brittle Temperature	<font size=5>\nBrittle Temperature\n</font><br>\n脆化温度\n
Bromal	<font size=5>\nBromal\n</font><br>\n溴醛\n
Bromate	<font size=5>\nBromate\n</font><br>\n溴酸盐\n
Bromate Titration	<font size=5>\nBromate Titration\n</font><br>\n溴酸盐滴定\n
Bromatimetry	<font size=5>\nBromatimetry\n</font><br>\n溴酸盐滴定\n
Bromic Acid	<font size=5>\nBromic Acid\n</font><br>\n溴酸\n
Bromide	<font size=5>\nBromide\n</font><br>\n溴化物\n
Bromimetry	<font size=5>\nBromimetry\n</font><br>\n溴滴定\n
Bromination	<font size=5>\nBromination\n</font><br>\n溴化\n
Bromine	<font size=5>\nBromine\n</font><br>\n溴\n
Bromine Fluoride	<font size=5>\nBromine Fluoride\n</font><br>\n氟化溴\n
Bromine Number	<font size=5>\nBromine Number\n</font><br>\n溴值\n
Bromine Value	<font size=5>\nBromine Value\n</font><br>\n溴值\n
Bromine Water	<font size=5>\nBromine Water\n</font><br>\n溴水\n
Bromoacetic Acid	<font size=5>\nBromoacetic Acid\n</font><br>\n溴乙酸\n
Bromoacetone	<font size=5>\nBromoacetone\n</font><br>\n溴丙酮\n
Bromobenzene	<font size=5>\nBromobenzene\n</font><br>\n溴苯\n
Bromobenzoic Acid	<font size=5>\nBromobenzoic Acid\n</font><br>\n溴苯甲酸\n
Bromocamphor	<font size=5>\nBromocamphor\n</font><br>\n溴代樟脑\n
Bromochloroethane	<font size=5>\nBromochloroethane\n</font><br>\n溴氯乙烷\n
Bromocresol Purple	<font size=5>\nBromocresol Purple\n</font><br>\n溴甲酚红紫\n
Bromodiethylacetylurea	<font size=5>\nBromodiethylacetylurea\n</font><br>\n邻溴代殊己酰脲\n
Bromoform	<font size=5>\nBromoform\n</font><br>\n溴仿\n
Bromometry	<font size=5>\nBromometry\n</font><br>\n溴滴定\n
Bromophenol	<font size=5>\nBromophenol\n</font><br>\n溴苯酚\n
Bromophenol Blue	<font size=5>\nBromophenol Blue\n</font><br>\n溴酚蓝\n
Bromopicrin	<font size=5>\nBromopicrin\n</font><br>\n硝基溴仿\n
Bromostyrene	<font size=5>\nBromostyrene\n</font><br>\n溴苯乙烯\n
Bromosuccinic Acid	<font size=5>\nBromosuccinic Acid\n</font><br>\n溴代丁二酸\n
Bromothymol Blue	<font size=5>\nBromothymol Blue\n</font><br>\n溴百里酚蓝\n
Bromyrite	<font size=5>\nBromyrite\n</font><br>\n溴银矿\n
Bronze	<font size=5>\nBronze\n</font><br>\n青铜\n
Bronze Plating	<font size=5>\nBronze Plating\n</font><br>\n镀青铜\n
Bronzing	<font size=5>\nBronzing\n</font><br>\n镀青铜\n
Brown Coal	<font size=5>\nBrown Coal\n</font><br>\n褐煤\n
Brownian Motion	<font size=5>\nBrownian Motion\n</font><br>\n布朗运动\n
Brownian Movement	<font size=5>\nBrownian Movement\n</font><br>\n布朗运动\n
Brown Pigment	<font size=5>\nBrown Pigment\n</font><br>\n褐色素\n
Brown Ring Reaction	<font size=5>\nBrown Ring Reaction\n</font><br>\n棕环试验\n
Brown Ring Test	<font size=5>\nBrown Ring Test\n</font><br>\n棕环试验\n
Brown Sugar	<font size=5>\nBrown Sugar\n</font><br>\n黄糖\n
Broxyquinoline	<font size=5>\nBroxyquinoline\n</font><br>\n二溴羟喹\n
Brucine	<font size=5>\nBrucine\n</font><br>\n二甲氧基马钱子碱\n
Brucite	<font size=5>\nBrucite\n</font><br>\n水滑石\n
Brunauer Emmett Teller Equation	<font size=5>\nBrunauer Emmett Teller Equation\n</font><br>\n布鲁诺埃梅特特勒方程式\n
Brunswick Blue	<font size=5>\nBrunswick Blue\n</font><br>\n布仑司维克蓝\n
B Stage Resin	<font size=5>\nB Stage Resin\n</font><br>\nB阶尸\n
Bubble	<font size=5>\nBubble\n</font><br>\n气泡\n
Bubble Cap	<font size=5>\nBubble Cap\n</font><br>\n泡罩\n
Bubble Chamber	<font size=5>\nBubble Chamber\n</font><br>\n泡沫箱\n
Bubble Cleaning Of Gas	<font size=5>\nBubble Cleaning Of Gas\n</font><br>\n泡沫式气清洗\n
Bubble Gauge	<font size=5>\nBubble Gauge\n</font><br>\n气泡指示器\n
Bubble Plate	<font size=5>\nBubble Plate\n</font><br>\n泡罩板\n
Bubble Point	<font size=5>\nBubble Point\n</font><br>\n始沸点\n
Bubbling	<font size=5>\nBubbling\n</font><br>\n起泡\n
Buchner Flask	<font size=5>\nBuchner Flask\n</font><br>\n布氏玻璃瓶\n
Buchner Funnel	<font size=5>\nBuchner Funnel\n</font><br>\n布氏漏斗\n
Bucket Conveyer	<font size=5>\nBucket Conveyer\n</font><br>\n斗式运输器\n
Bucket Elevator	<font size=5>\nBucket Elevator\n</font><br>\n斗式提升机\n
Budbreak	<font size=5>\nBudbreak\n</font><br>\n发芽\n
Buffer	<font size=5>\nBuffer\n</font><br>\n缓冲剂\n
Buffer Action	<font size=5>\nBuffer Action\n</font><br>\n缓冲酌\n
Buffer Battery	<font size=5>\nBuffer Battery\n</font><br>\n缓冲电池\n
Buffer Capacity	<font size=5>\nBuffer Capacity\n</font><br>\n缓冲能力\n
Buffer Salts	<font size=5>\nBuffer Salts\n</font><br>\n缓冲盐\n
Buffer Solution	<font size=5>\nBuffer Solution\n</font><br>\n缓冲溶液\n
Buffer Tank	<font size=5>\nBuffer Tank\n</font><br>\n缓冲柜\n
Bufotalin	<font size=5>\nBufotalin\n</font><br>\n蟾蜍他灵\n
Built Up Film	<font size=5>\nBuilt Up Film\n</font><br>\n累积膜\n
Bulk Density	<font size=5>\nBulk Density\n</font><br>\n体积密度\n
Bulk Factor	<font size=5>\nBulk Factor\n</font><br>\n体积因素\n
Bulking Agent	<font size=5>\nBulking Agent\n</font><br>\n填充剂\n
Bulk Modulus	<font size=5>\nBulk Modulus\n</font><br>\n体积弹性模量\n
Bulk Polymerization	<font size=5>\nBulk Polymerization\n</font><br>\n本体聚合\n
Bumping	<font size=5>\nBumping\n</font><br>\n崩沸\n
Bunker Oil	<font size=5>\nBunker Oil\n</font><br>\n船用油\n
Bunsen Burner	<font size=5>\nBunsen Burner\n</font><br>\n本生灯\n
Bunsen Cell	<font size=5>\nBunsen Cell\n</font><br>\n本生氏电池\n
Buoyancy	<font size=5>\nBuoyancy\n</font><br>\n浮力\n
Buret	<font size=5>\nBuret\n</font><br>\n量管\n
Buret Clamp	<font size=5>\nBuret Clamp\n</font><br>\n滴定管夹\n
Buret Clamp Pincers	<font size=5>\nBuret Clamp Pincers\n</font><br>\n滴定管夹\n
Buret Stand	<font size=5>\nBuret Stand\n</font><br>\n滴定管架\n
Burner	<font size=5>\nBurner\n</font><br>\n灯\n
Burning Furnace	<font size=5>\nBurning Furnace\n</font><br>\n燃烧炉\n
Burning Point	<font size=5>\nBurning Point\n</font><br>\n燃烧点\n
Burning Rate	<font size=5>\nBurning Rate\n</font><br>\n燃烧速率\n
Burning Velocity	<font size=5>\nBurning Velocity\n</font><br>\n燃烧速度\n
Burning Zone	<font size=5>\nBurning Zone\n</font><br>\n燃烧区\n
Burnt Alum	<font size=5>\nBurnt Alum\n</font><br>\n烧茂\n
Burnt Gypsum	<font size=5>\nBurnt Gypsum\n</font><br>\n烧石膏\n
Burnt Lime	<font size=5>\nBurnt Lime\n</font><br>\n生石灰\n
Bursting Charge	<font size=5>\nBursting Charge\n</font><br>\n爆裂药\n
Bursting Test	<font size=5>\nBursting Test\n</font><br>\n破裂试验\n
Butadiene	<font size=5>\nButadiene\n</font><br>\n丁二烯\n
Butadiene Acrylonitrile Rubber	<font size=5>\nButadiene Acrylonitrile Rubber\n</font><br>\n丁二烯丙烯腈橡胶\n
Butadiene Rubber	<font size=5>\nButadiene Rubber\n</font><br>\n丁二烯橡胶\n
Butadiene Styrene Rubber	<font size=5>\nButadiene Styrene Rubber\n</font><br>\n丁二烯苯乙烯橡胶\n
Butane	<font size=5>\nButane\n</font><br>\n丁烷\n
Butanedioic Acid	<font size=5>\nButanedioic Acid\n</font><br>\n琥珀酸\n
Butanediol	<font size=5>\nButanediol\n</font><br>\n丁二醇\n
Butanoic Anhydride	<font size=5>\nButanoic Anhydride\n</font><br>\n丁酐\n
Butanol	<font size=5>\nButanol\n</font><br>\n丁醇\n
Butanone	<font size=5>\nButanone\n</font><br>\n丁酮\n
Butene	<font size=5>\nButene\n</font><br>\n丁烯\n
Butenediol	<font size=5>\nButenediol\n</font><br>\n丁烯二醇\n
Butine	<font size=5>\nButine\n</font><br>\n丁炔\n
Butter	<font size=5>\nButter\n</font><br>\n奶油\n
Butyl Acetate	<font size=5>\nButyl Acetate\n</font><br>\n醋酸丁酯\n
Butyl Alcohol	<font size=5>\nButyl Alcohol\n</font><br>\n丁醇\n
Butylamine	<font size=5>\nButylamine\n</font><br>\n丁胺\n
Butylation	<font size=5>\nButylation\n</font><br>\n丁基化\n
Butyl Benzoate	<font size=5>\nButyl Benzoate\n</font><br>\n苯酸丁酯\n
Butyl Benzyl Phthalate	<font size=5>\nButyl Benzyl Phthalate\n</font><br>\n酞酸丁苄酯\n
Butyl Bromide	<font size=5>\nButyl Bromide\n</font><br>\n丁基溴\n
Butyl Chloride	<font size=5>\nButyl Chloride\n</font><br>\n丁基氯\n
Butyl Cyanide	<font size=5>\nButyl Cyanide\n</font><br>\n戊腈\n
Butylene	<font size=5>\nButylene\n</font><br>\n丁烯\n
Butylene Glycol	<font size=5>\nButylene Glycol\n</font><br>\n丁烯二醇\n
Butylene Oxide	<font size=5>\nButylene Oxide\n</font><br>\n丁撑氧\n
Butyl Formate	<font size=5>\nButyl Formate\n</font><br>\n甲酸丁酯\n
Butyl Iodide	<font size=5>\nButyl Iodide\n</font><br>\n碘丁烷\n
Butyl Lactate	<font size=5>\nButyl Lactate\n</font><br>\n乳酸丁酯\n
Butyl Oleate	<font size=5>\nButyl Oleate\n</font><br>\n油酸丁酯\n
Butyl Rubber	<font size=5>\nButyl Rubber\n</font><br>\n丁基橡胶\n
Butyl Stearate	<font size=5>\nButyl Stearate\n</font><br>\n硬脂酸丁酯\n
Butynediol	<font size=5>\nButynediol\n</font><br>\n丁炔二醇\n
Butyraldehyde	<font size=5>\nButyraldehyde\n</font><br>\n丁醛\n
Butyral Resin	<font size=5>\nButyral Resin\n</font><br>\n聚乙烯醇缩丁醛\n
Butyrate	<font size=5>\nButyrate\n</font><br>\n丁酸酸盐\n
Butyric Acid	<font size=5>\nButyric Acid\n</font><br>\n丁酸\n
Butyric Anhydride	<font size=5>\nButyric Anhydride\n</font><br>\n丁酐\n
Butyroin	<font size=5>\nButyroin\n</font><br>\n丁偶姻\n
Butyrolactone	<font size=5>\nButyrolactone\n</font><br>\n丁内酯\n
Butyrometer	<font size=5>\nButyrometer\n</font><br>\n乳脂计\n
Butyrone	<font size=5>\nButyrone\n</font><br>\n酪酮\n
Butyronitrile	<font size=5>\nButyronitrile\n</font><br>\n丁腈\n
Butyryl	<font size=5>\nButyryl\n</font><br>\n丁酰\n
